body	topic
"    -- Paris Newsroom +331 4221 5452"""	N2:LOA
"    -- David Clarke, Paris Newsroom +33 1 4221 5452"""	N2:LOA
"    HELSINKI, April 16 (Reuter) - Finnish forestry firm
Metsa-Serla Oy said in a statement on Tuesday it would issue
7.55 percent bonds maturing on March 15, 2002 for a maximum of
500 million markka to the public."	N2:LOA
"    HELSINKI, April 16 (Reuter) - Finnish forestry firm
Metsa-Serla Oy said in a statement on Tuesday it would issue to
the public 7.55 percent bonds maturing on March 15, 2002 for a
maximum of 500 million markka."	N2:LOA
"    HELSINKI, April 16 (Reuter) - Finnish forestry firm
Metsa-Serla Oy said in a statement on Tuesday it would issue
7.55 percent bonds maturing on March 15, 2002 for a maximum of
500 million markka to the public.
    Merita Bank is issue lead manager and the 500,000 markka
face value bonds can be subscribed at Merita's private banking
branches and asset management unit, Metsa-Serla said.
    The subscription period is April 17 to April 26, it said.
    In case of oversubscription, the issue amount could be
raised, it said.
    An application for a listing on the Helsinki Stock Exchange
would be submitted after the subscription period, it said.
      -- Helsinki newsroom +358-0-6805 0245"	N2:LOA
"     TAIPEI, April 12 (Reuter) - Taiwan's money rates were
firmer at the close on Friday and dealers expected the rates to
edge higher next week over payments for income taxes.
    The overnight interbank rate finished at 6.081 percent
against Thursday's 6.069 close, with the 30-day commercial paper
at 6.85-7.15 percent against 7.00.
    Despite the tax payments, dealers did not expect the rates
to rise significantly as the central bank may continue to inject
funds into the banking system through open market operations.
    The bond market was quiet and traders expected yields to
stabilise around current levels. -- Wang Hsin-ju (2-5080815)"	N2:LOA
"    -- Johannesburg newsroom 27 11 482 1003"""	N2:LOA
"    STOCKHOLM, April 12 (Reuter) - Swedish insurance company
Skandia <SKDSf.ST>said on Friday it would issue a $115 million
10-year debenture loan to be placed on the international debt
markets.
    The lead banks in the issue would be Chemical Investment
Bank Ltd and JP Morgan Securities Ltd, Skandia said in a
statement."	N2:LOA
"    STOCKHOLM, April 12 (Reuter) - Swedish insurance company
Skandia <SKDSf.ST>said on Friday it would issue a $115 million
10-year debenture loan to be placed on the international debt
markets.
    The lead banks in the issue would be Chemical Investment
Bank Ltd and JP Morgan Securities Ltd, Skandia said in a
statement.
    The loan will be set at a variable rate of Libor plus 90
basis points.
    Skandia said the purpose of the loan was to strengthen its
capital base and finance expansion in its Nordic life and
non-life insurance operations as well as its international life
and pension assurance business.
    --Trevor Datson, Stockholm newsroom, +46-8-700 1006"	N2:LOA
"    TAIPEI, April 11 (Reuter) - Taiwan's central bank said on
Thursday it will relax restrictions on the use of funds raised
by local firms' overseas through depositary receipts (DRs) and
convertible bonds (CBs), effective immediately.
    From now on, local firms can apply to have the funds raised
overseas sent to Taiwan and exchanged for Taiwan dollars, which
can be used to repay outstanding bank loans, the bank said in a
statement.
    Use of the funds will be limited to paying back bank loans
that are used for local expansion, investments in the island's
major economic development plans, and investments in major
high-technology industries, it said."	N2:LOA
"    TAIPEI, April 11 (Reuter) - Taiwan's central bank said on
Thursday it will relax restrictions on the use of funds raised
by local firms' overseas through depositary receipts (DRs) and
convertible bonds (CBs), effective immediately.
    From now on, local firms can apply to have the funds raised
overseas sent to Taiwan and exchanged for Taiwan dollars, which
can be used to repay outstanding bank loans, the bank said in a
statement.
    Use of the funds will be limited to paying back bank loans
that are used for local expansion, investments in the island's
major economic development plans, and investments in major
high-technology industries, it said.
    Previously, Taiwan banned local firms from using the funds
they raised overseas through DR or CB issues to repay bank
loans."	N2:LOA
"    -- New York Newsdesk (212) 859-1610"""	N2:LOA
"    TOKYO, April 12 (Reuter) - The Bank of Japan (BOJ) will
keep its current easy credit stance in the money market after
the new bank reserves reporting period begins on Tuesday, a
senior BOJ official told Reuters on Friday."	N2:LOA
"percent from Thursday's 0.50 percent."""	N2:LOA
"   ABIDJAN, April 12 (Reuter) - The first of three regional bonds
to be quoted on the Abidjan Stock Exchange (BVA) were officially
launched on Friday, bankers said.
    The five billion CFA offer by Ivory Coast State bank Caisse
Autonome d'Amortissement was issued through the local unit of
U.S. bank, Citibank. Denominated in 10,000 CFA units, it matures
in three years and has a yield of nine percent net of tax, a
Citibank official said.
    It was the first bond by the Caisse Autonome d'Amortissement
to be handled by a bank other than the French-linked ones that
dominate the Ivorian financial sector.
    The second is a five-billion CFA bond that has been fully
subscribed since its issue by Benin brewer SOBEBRA in January. It
is for seven years, with a face value of 100,000 CFA and yields
9.5 percent, BVA's chief economist Romain Yao said.
    The third, for three billion CFA also has a face value of
100,000 CFA and yields 6.91 percent over five years. It will be
issued by SAGA-Cote d'Ivoire, a unit of French transport group
SAGA."	N2:LOA
"     LONDON, April 11 (LPC) - Railtrack Group Plc signed on
Tuesday a 2.35 billion stg bank loan, according to market
sources.
   Led by BZW Syndications, the credit will form the core
financing for Railtrack, which is slated to have a public
offering of shares in May.  The facility will also provide cash
to help fund the Thameslink 2000 project.
    Joining the deal as underwriters were Barclays Bank, Credit
Suisse, Deutsche Bank, Fuji Bank, Kredietbank, Midland Bank,
Royal Bank of Scotland and West LB. These eight each pledged
about 300 million stg to the credit, but will sell a portion of
their exposure down through a general syndication.
    Launch of general syndication is scheduled for Tuesday April
16. For top level commitments of 100 million stg or more, banks
will receive 10 bps fees, sources said.
    The credit is split into two tranches, one of 1.65 billion
stg and one of 700 million stg, both with a final maturity of
five years. Barclays Bank is serving as facility agent.
   Railtrack owns the track and stations formerly controlled by
British Rail and will gain revenue by charging train companies
that use its facilities.
   For further details go to <LOANS>
   LPC Newsroom 44-0171-542-4048"	N2:LOA
"announcing first-quarter earnings."""	N2:LOA
"share a year ago."""	N2:LOA
"    HONG KONG, April 16 (Reuter) - A US$100 million term loan
facility for PT Steady Safe has been launched into general
syndication, said arranger HSBC Investment Bank Singapore.
    The facility carries a maturity of 3.5 years and pays a
margin of 170 basis points over the Singapore Interbank Offered
Rate. There is a commitment fee of 50 basis points.
    Repayment of the loan will be in bullet form.
    Fees are 60 basis points for participating banks committing
US$7 million or more, 50 basis points for banks committing
US$5-7 million and 40 basis points for banks committing US$3-4
million.
    Underwriters are Hong Kong Bank, May Bank, Bank Ekspor Impor
(Indonesia) and Bayerische Vereinsbank.
    Proceeds of the loan will be used to purchase 1,000 buses.
    Replies are due at the end of April.
     --HK Newsroom (852) 2843 6960"	N2:LOA
"    --Olga Popova, Moscow Newsroom, +7095 941 8520"""	N2:LOA
"    BREMEN, Germany, April 16 (Reuter) - Cash-strapped German shipbuilder Bremer
Vulkan Verbund AG will probably file for bankruptcy on May 2, union officials
said on Tuesday.
    Separately, a German magazine reported that Udo Wagner, management board
chairman of Germany's largest shipbuilder, planned to step down only three
months after taking the helm.
    Wolfgang Dettmer, deputy head of the Bremer Vulkan yard in Bremen, said
court-appointed administrator Jobst Wellensiek had not ruled out that the group
would be forced to file for bankruptcy in early May.
    Bremer Vulkan filed for protection from creditors in late February and has
until May 10 to work out a debt rescheduling agreement with its creditors to
stave off bankruptcy.
    The works council said it would start talks this week aimed at preventing
thousands of job losses in the immediate aftermath of a bankruptcy.
    Bremer Vulkan at one point employed 23,000 people but the bankruptcy would
not affect around 9,000 workers as several units have been hived off.
    Meanwhile, Manager Magazin reported in a summary of an article to be
published its next edition that tensions had flared between Wagner and
Wellensiek and supervisory board chairman Hero Brahms.
    Neither Wagner nor Bremer Vulkan was available for comment.
    Wagner, formerly finance chief at Asea Brown Boveri (ABB), assumed his
position on February 1, replacing Friedrich Hennemann who left Bremer Vulkan as
huge losses and misuse of public subsidies became public.
    Only three weeks after taking up his new job, Wagner announced that Bremer
Vulkan was seeking protection from creditors and that the courts would appoint
an administrator.
    The magazine said in light of growing speculation Bremer Vulkan would be
forced to file for bankruptcy there is little else for Wagner to do at the
company.
    --Svea Herbst-Bayliss, Frankfurt Newsroom +49 69 756525"	N2:LOA
"    -- Andrea Ricci (852) 2843-6371 fax (852) 2845-0636"""	N2:LOA
" -- Sofia Newsroom, 359-2-328101"""	N2:LOA
" -- Sofia Newsroom, 359-2-328101"""	N2:LOA
" -- Sofia Newsroom, 359-2-328101"""	N2:LOA
"    LONDON, April 11 (Reuter) - Newsquest Capital Plc, the UK
newspaper publisher acquired by Kohlberg, Kravis Roberts & Co in
a leveraged buyout from Reed Elsevier <ELSN.AS><REED.L>, has
issued $120 million in high yield bonds, CS First Boston said on
Thursday.
    CS First Boston lead-managed the $120 million issue of 11
percent senior subordinated notes due 2006.
    Christian Purslow, a director for CS First Boston, said the
issue represents the first UK leveraged buyout to access the
U.S. high yield market, which was done at a rate substantially
lower than traditional European mezzanine debt.
    CS First Boston had advised KKR on its buyout of Newsquest
Capital, formerly Reed Regional Newspapers, for 206 million stg.
    Credit Suisse and CS First Boston had arranged a 115 million
stg credit facility, comprising a 95 million stg eight-year term
loan and a six-year 20 million working capital facility, to fund
the acquisition.
Proceeds of the high-yield offering were used to refinance
seller notes issued by Reed Elsevier and to repay a portion of
the bank debt, Purslow said.
    -- London Newsroom +44 171 542 8958"	N2:LOA
"    TOKYO, April 15 (Reuter) - The Bank of Japan (BOJ) is
putting emphasis on securing a basis for economic recovery in
managing its monetary policy, BOJ Governor Yasuo Matsushita
told the budget committee of the Upper House of parliament on
Monday."	N2:LOA
"in general."""	N2:LOA
"    HONG KONG, April 16 (Reuter) - A US$20 million term loan
facility for China Venture-Tech Investment Corp is in
syndication, said arranger KLB Asia.
    The facility carries a maturity of 1,092 days, or about
three years, from the drawdown date and pays a margin of 20
basis points over the six-month London Interbank Offered Rate.
There are put options after 364 days and 728 days.
    The front-end fee is 110 basis points and there is an
extension fee of 110 basis points if the put options are not
exercised.
    A letter of support will be obtained from the State
Commission for Science and Technology.
    Proceeds of the loan will be used for general working
capital.
    Replies are due April 19.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"of inflated stock and land prices in the late 1980s."""	N2:LOA
"functions in the metropolitan Tokyo area."""	N2:LOA
"    SINGAPORE, April 16 (Reuter) - Videocon Petroleum Ltd has
signed a US$46 million loan facility for the Ravva oil and gas
development project in Madras, India, the company and lending
banks Bank of America and Banque Paribas said on Tuesday.
    Videocon Petroleum is part of the Videocon Group <VDCI.BO>,
which is one of the leading manufacturers of consumer
electronics products in India."	N2:LOA
"    SINGAPORE, April 16 (Reuter) - Videocon Petroleum Ltd has
signed a US$46 million loan facility for the Ravva oil and gas
development project in Madras, India, the company and lending
banks Bank of America and Banque Paribas said on Tuesday.
    Videocon Petroleum is part of the Videocon Group <VDCI.BO>,
which is one of the leading manufacturers of consumer
electronics products in India.
    The agreement was signed on March 29, the joint statement
said.
    The Ravva project, estimated to cost US$243.7 million,
represents Videocon's first move into the petroleum sector.
    The project, located 400 km northwest of Madras, consists of
seven unmanned offshore platforms, onshore processing and
storage facilities and gas lift and water injection facilities,
the statement said.
    Command Petroleum <CPH.AX> unit Command Petroleum (India)
Pty Ltd is operator of the Ravva field.
    Earlier this month Command said it was preparing to complete
the RC-1 development well in the Ravva Contract Area as an oil
producer. Command said drill stem tests flowed 35.8 degree API
oil at a maximum stabilised rate of 5,998 barrels per day, but
added the flow rate was limited by the testing equipment.
    India's Oil and Natural Gas Corporation Ltd <ONGC.BO> has a
40 percent stake in the find, Videocon 25 percent, Command 22.5
percent and Marubeni Corp <8002.T> 12.5 percent through an
affiliate.
    The project is expected to be commissioned in late 1996 and
is projected to produce 139 million barrels of oil equivalent
over 14 years, the statement said."	N2:LOA
"Tokyo on Friday."""	N2:LOA
"<8511.T> <5454.T>"""	N2:LOA
"    TOKYO, April 11 (Reuter) - A bill to revise Japan's Deposit
Insurance Corp (DIC) law includes provisions for the government
to guarantee debt incurred by the corporation, according to a
draft released by the Ministry of Finance (MOF) on Thursday.
    The DIC, which was set up by Japanese banks and the Bank of
Japan (BOJ), is a semi-public entity which insures deposits at
deposit-taking institutions. It is funded by a premium paid by
banks and is overseen by MOF."	N2:LOA
"    TOKYO, April 11 (Reuter) - A bill to revise Japan's Deposit
Insurance Corp (DIC) law includes provisions for the government
to guarantee debt incurred by the corporation, according to a
draft released by the Ministry of Finance (MOF) on Thursday.
    The DIC, which was set up by Japanese banks and the Bank of
Japan (BOJ), is a semi-public entity which insures deposits at
deposit-taking institutions. It is funded by a premium paid by
banks and is overseen by MOF.
    The bill, which is expected to be approved by the cabinet
and submitted to parliament on Friday, is one of three
financial bills whose submission to parliament was held up by a
month of political wrangling over the 1996/97 state budget.
    After the ruling coalition and the opposition agreed late
on Wednesday that the government may delay the use of public
money for a controversial scheme to help wind up the nations's
ailing mortgage firms, the budget was passed in the Lower House
of parliament on Thursday.
    The other bills relate to improving management of Japan's
financial institutions and dealing with bankrupt institutions."	N2:LOA
"    HONG KONG, April 12 (Reuters) - Kookmin Bank has mandated
three banks to arrange a US$100 million three-year floating rate
note issue, said arranger Societe General Asia.
    Other arrangers are Merrill Lynch and Sakura Finance Asia.
    Other details including pricing were not available.
    General syndication is expected in early May.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    HONG KONG, April 12 (Reuter) - Siam Occidental, a subsidiary
of Occidental Petroleum, has mandated ABN AMRO Syndications Asia
to arrange a US$39 million loan facility.
    The loan has a nine-year tenor and represents a refinancing
of a previous project loan.
    The borrower is a manuacturer of caustic soda.
    The loan will be launched into general syndication next
week, ABN AMRO said.
    -- Hong Kong Newsroom (852) 2843-6371"	N2:LOA
"    BANGKOK, April 11 (Reuter) - Thailand's One Holding Plc, the
investment arm of brokerage Finance One Plc <FIN1.BK>, said on
Thursday it plans to raise $40 million by issuing floating rate
notes (FRN) or through syndicated loans.
    The planned notes may be issued to foreign investors in
tranches or in one major issue with put options, the company
said in a filing to the Stock Exchange of Thailand.
    Other details on the notes or syndicated loans will be
determined by the company later, it said.
    -- Bangkok newsroom (662) 252-9950"	N2:LOA
"the discount rate cut since July 1991."""	N2:LOA
"March 1996 as the non-bank was unable to repay its debt."""	N2:LOA
"<8314.T>"""	N2:LOA
"    HONG KONG, April 16 (Reuter) - Agricultural Bank of China
Singapore Branch's five-year floating rate certificate of
deposit issue has been increased to US$120 million from US$100
million, said arranger Societe Generale Asia.
    The certificates were issued at par and launched on March
21. They pay a coupon of 40 bp over six-month London Interbank
Offered Rate. There are put and call options in year three.
    With fees, the all-in return for top-tier managers is 53 bp.
    Arrangers, with US$8 million each, are Bayerische Landesbank
HK, Development Bank of Singapore, Societe Generale Asia and
OCBC Bank.
    Lead managers are Bear-Stearns Asia and Goldman Sachs, with
US$15 million each, and ANZ Asia, Daiwa Securities HK,
Norinchukin Bank Singapore and UBS HK, with US$8 million each.
    Co-lead managers, with US$5 million each, are DKB Asia,
Girocredit Bank and Toyo Trust HK.
    Managers are BW Bank, BBL Singapore, Landesbank
Rheinland-Pfalz, with US$3 million each, and Zurcher
Kantonalbank, with US$2 million.
    Payment is in two equal tranches on April 30 and May 30.
Signing is set for April 24 in Singapore.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    HONG KONG, April 16 (Reuter) - Agricultural Bank of China
Singapore Branch's five-year floating rate certificate of
deposit issue has been increased to US$120 million from US$100
million, said arranger Societe Generale Asia.
    The certificates were issued at par and launched on March
21. They pay a coupon of 40 bp over six-month London Interbank
Offered Rate. There are put and call options in year three.
    With fees, the all-in return for top-tier managers is 53 bp.
    Arrangers, with US$8 million each, are Bayerische Landesbank
HK, Development Bank of Singapore, Societe Generale Asia and
OCBC Bank.
    Lead managers are Bear-Stearns Asia and Goldman Sachs, with
US$15 million each, and ANZ Asia, Daiwa Securities HK,
Norinchukin Bank Singapore and UBS HK, with US$8 million each.
    Co-lead managers, with US$5 million each, are DKB Asia,
Girocredit Bank and Toyo Trust HK.
    Managers are BW Bank, BBL Singapore, Landesbank
Rheinland-Pfalz, with US$3 million each, and Zurcher
Kantonalbank, with US$2 million.
    Payment is in two equal tranches on April 30 and May 30.
Signing is set for April 24 in Singapore.
    --HK Newsroom (852) 2843 6960
    HONG KONG, April 16 (Reuter) - The five-year floating rate
certificate of deposit issue for Agricultural Bank of China,
Singapore Branch, has been increased to US$120 million from
US$100 million, said arranger Societe Generale Asia.
    The certificates were issued at par and launched on March
21. They pay a coupon of 40 basis points over the six-month
London Interbank Offered Rate. There are put and call options in
year three.
    With fees, the all-in return for top-tier managers is 53
basis points.
    Arrangers, with US$8 million each, are Bayerische Landesbank
HK, Development Bank of Singapore, Societe Generale Asia and
OCBC Bank.
    Lead managers are Bear-Stearn Asia and Goldman Sachs, with
US$15 million each, and ANZ Asia, Daiwa Securities HK,
Norinchukin Bank Singapore and UBS HK, with US$8 million each.
    Co-lead managers, with US$5 million each, are DKB Asia,
Girocredit Bank and Toyo Trust HK.
    Managers are BW Bank, BBL Singapore, Landesbank
Rheinland-Pfalz, with US$3 million each, and Zurcher
Kantonalbank, with US$2 million.
    Signing is set for April 24 in Singapore.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"    HONG KONG, April 12 (Reuter) - The HK$5.45 billion term loan
facility for Talent Luck and Oriental Sharp, Chevalier Group
special purpose units set up to finance private sector
participation scheme (PSPS) projects in Hong Kong, has been
allotted, said arranger Sumitomo Bank Hong Kong.
    The HK$2.3 billion term loan for Talent Luck carries a
maturity of 34 months to fund a PSPS project at Tseung Kwan O
while the HK$3.15 billion term loan for Oriental Sharp carries a
maturity of 27 months to fund a PSPS project at Mongkok West.
    Both facilities pay a margin of 90 basis points over the
Hong Kong Interbank Offered Rate.
    Fees are 45 basis points for top-tier managers.  There is a
commitment fee of 12.5 basis points per annum.
    Senior underwriters and lead managers are Hongkong and
Shanghai Banking Corporation and Hang Seng Bank, with HK$778
million each, Sanwa Bank HK, with HK$350 million, Banque
Nationale de Paris and Sumitomo Bank HK, with HK$300 million
each, and Credit Lyonnais HK and Industrial Bank of Japan HK,
with HK$214.5 million each.
    Underwriters and lead managers, with HK$190 million each,
are Deutsche Bank HK, Fuji Bank, Sakura bank, Westdeutsche LB HK
and Wing Lung Bank.
    Lead managers, with HK$135 million each, are Bayerische
Hypotheken-und Wechsel-Bank HK, Chemical Bank, Commonwealth Bank
of Australia, Dai-Ichi Kangyo Bank HK and Tokai Bank HK.
    Co-lead managers, with HK$90 million each, are Mitsubishi
Trust and Banking Corporation HK, Oversea-Chinese Banking
Corporation, Royal Bank of Canada and Toyo Trust and Banking Co
HK.
    Managers are ABN AMRO Bank and Asahi Bank HK, with HK$70
million each, and Banca Commerciale Italiana HK, China
Construction Bank HK, Development Bank of Singapore, Societe
Generale HK, Tat Lee Bank HK and Yien Yieh Finance Co, with
HK$65 million each.
    Signing is set for April 18.
    --HK Newsroom (852) 2843 6960"	N2:LOA
"directive as saying."""	N2:LOA
"    TOKYO, April 12 (Reuter) - Japan's Ministry of Finance said
in a statement on Friday that the business of two credit unions
based in Hyogo prefecture would be taken over by Danyo Shinyo
Kumiai."	N2:LOA
"    TOKYO, April 12 (Reuter) - Japan's Ministry of Finance said
in a statement on Friday that the business of two credit unions
based in Hyogo prefecture would be taken over by Danyo Shinyo
Kumiai.
    MOF said it planned to ask for financial aid from the
Deposit Insurance Corp of Japan to help dispose of problem
loans held by the two credit unions -- Kenmin Daiwa Shinyo
Kumiai and Sanyo Shinyo Kumiai. It said the problem loans at
the two would be transferred to an official body to be set up
to recover such loans later.
    The ministry said the two credit unions should be
liquidated and their managements should resign. It added that
capital at the two unions must be used to cover losses stemming
from problem loan write-offs. However, the statement did not
say when the wind up of the credit unions would take place."	N2:LOA
"    -- Paris Newsroom +33 1 4221 5452"""	N2:LOA
"    HONG KONG, April 12 (Reuter) - The following issue has been
announced by arranger ABN AMRO Syndications Asia.
  BORROWER  INDIAN PETROCHEMICAL CORP      GUARANTOR --
  AMOUNT    US$75 MLN    TYPE     TERM LOAN
  MARGIN    L+98 BP      MATURITY 8 YRS    AVGE LIFE 7 YRS
  PUTS      NONE         CALLS    NONE     LAUNCHED  11.APR.96
  DRAWDOWN   ---         AVAIL    90 DAYS  HOME CTRY INDIA  
  REPAYMENT 3 ANNUAL INSTALMENTS AFTER 6 YEARS' GRACE      
  REPLIES   26.APR.96    GOV LAW  ENGLISH                   
  ARRANGERS ABN AMRO SYNDICATIONS ASIA, CITIBANK, SOCIETE
            GENERALE ASIA, BANK NOVA SCOTIA SECURITIES ASIA
  NOTES     GOVT OF INDIA MUST MAINTAIN AT LEAST 51 PCT 
            OWNERSHIP STAKE IN THE BORROWER.
  MGT LEVELS AND FEES
            ARRANGERS US$15     MLN 60 BP ALL-IN 106.6  
            CO-ARGR   US$7.5-10 MLN 55 BP ALL-IN 105.8
            LEAD MGR  US$5-6    MLN 50 BP ALL-IN 105.1
            MGR       US$2-5    MLN 45 BP ALL-IN 104.4
    -- Hong Kong Newsroom (852) 2843-6371"	N2:LOA
